user_name,score,review_text,review_date,app_version,thumbs_up,churned,app,clean_review,tokens,sentiment,churn_reason
Tân an Nguyen,5,quá xuất sắc 10đ/10đ,2025-07-10 06:28:44,1.58.1.2,0,0,Lien Quan Mobile,quá xuất sắc đđ,quá xuất_sắc đđ,Positive,none
Minh Đăng Lê,1,update ghép trận chán,2025-07-10 06:27:46,1.59.1.5,0,1,Lien Quan Mobile,update ghép trận chán,update ghép trận chán,Negative,"matchmaking, update"
anh thuw,1,má reset rank cx vừa vừa thôi nghỉ sao mà từ t.anh xuống k.cương v 1 sao vậy cập Nhật thì cx vừa thôi chứ còn cho ghép vs trẻ trâu nx yêu cầu gà sửa lại chút đi,2025-07-10 06:27:33,1.59.1.5,9,1,Lien Quan Mobile,má reset rank cx vừa vừa thôi nghỉ sao mà từ tanh xuống kcương v sao vậy cập nhật thì cx vừa thôi chứ còn cho ghép vs trẻ trâu nx yêu cầu gà sửa lại chút đi,má reset rank cx vừa vừa thôi nghỉ sao mà từ tanh xuống kcương v sao vậy cập_nhật thì cx vừa thôi chứ còn cho ghép vs trẻ trâu nx yêu_cầu gà sửa lại chút đi,Negative,"matchmaking, toxic, update"
La Nguyenthi,5,chơi game sướng,2025-07-10 06:27:27,1.58.1.2,0,0,Lien Quan Mobile,chơi game sướng,chơi game sướng,Positive,none
Nhượng Đỗ,5,Hay,2025-07-10 06:26:27,1.58.1.2,0,0,Lien Quan Mobile,hay,hay,Positive,none
Ngọc Linh Nguyễn,1,bị văng khi đang chơi,2025-07-10 06:26:10,1.59.1.5,0,1,Lien Quan Mobile,bị văng khi đang chơi,bị văng khi đang chơi,Negative,other
Diễn Đoàn,1,tốn MB quá=/,2025-07-10 06:26:05,1.59.1.5,0,1,Lien Quan Mobile,tốn mb quá,tốn mb quá,Negative,other
Đật Hoàng,5,cuốn quá,2025-07-10 06:25:57,1.59.1.5,0,0,Lien Quan Mobile,cuốn quá,cuốn quá,Positive,none
Thi My Anh Pham,4,rất tốt,2025-07-10 06:25:52,1.58.1.2,0,0,Lien Quan Mobile,rất tốt,rất tốt,Positive,none
huyen nguyen,5,quá hay,2025-07-10 06:25:48,1.58.1.2,0,0,Lien Quan Mobile,quá hay,quá hay,Positive,none
duong nguyen,1,Sắp vào đến sảnh thì nó lại ra...,2025-07-10 06:24:13,1.59.1.5,1,1,Lien Quan Mobile,sắp vào đến sảnh thì nó lại ra,sắp vào đến sảnh thì nó lại ra,Negative,other
Thảo Nguyễn,5,game rất hay !,2025-07-10 06:23:28,1.59.1.5,0,0,Lien Quan Mobile,game rất hay,game rất hay,Positive,none
Quy Vũ quy,5,thật ra liên quân có trải nghiệm rất tốt .nhưng chơi toàn bảo mạng yếu .rồi lác lắm,2025-07-10 06:21:54,1.59.1.5,0,0,Lien Quan Mobile,thật ra liên quân có trải nghiệm rất tốt nhưng chơi toàn bảo mạng yếu rồi lác lắm,thật_ra liên_quân có trải_nghiệm rất tốt nhưng chơi toàn bảo_mạng yếu rồi lác lắm,Positive,none
Ken Gin,1,ghép toàn thg rách,2025-07-10 06:21:44,1.59.1.5,0,1,Lien Quan Mobile,ghép toàn thg rách,ghép toàn thg rách,Negative,trash
Dungx Trinhj,5,hay,2025-07-10 06:20:11,1.58.1.2,0,0,Lien Quan Mobile,hay,hay,Positive,none
Hà Diễm Hương,5,Ok,2025-07-10 06:19:28,1.59.1.5,0,0,Lien Quan Mobile,ok,ok,Positive,none
minh nguyễn xuân,5,sau cập Nhật LQ đã làm rất tốt đặc biệt là cho Florentino nói tiếng Việt đã làm việc tôi cười từ sáng đến tối :))),2025-07-10 06:18:52,1.59.1.5,3,0,Lien Quan Mobile,sau cập nhật lq đã làm rất tốt đặc biệt là cho florentino nói tiếng việt đã làm việc tôi cười từ sáng đến tối,sau cập_nhật lq đã làm rất tốt đặc_biệt là cho florentino nói tiếng việt đã làm_việc tôi cười từ sáng đến tối,Positive,update
Doanh Nguyen,1,"phá gamebthi đc mpv ,afk thì ko tố cáo đc game lag , đồng đôi toxic",2025-07-10 06:18:36,1.59.1.5,0,1,Lien Quan Mobile,phá gamebthi đc mpv afk thì ko tố cáo đc game lag đồng đôi toxic,phá gamebthi đc mpv afk thì ko tố_cáo đc game lag đồng đôi toxic,Negative,"lag, performance, toxic"
Phát Nguyễn,5,aaaaa game lag lỗ điện thoại mong game làm cho game siêu mượt,2025-07-10 06:17:08,1.59.1.5,0,0,Lien Quan Mobile,aaaaa game lag lỗ điện thoại mong game làm cho game siêu mượt,aaaaa game lag lỗ điện_thoại mong game làm cho game siêu_mượt,Positive,"lag, performance"
Hao Kiet Nguyen,1,thua,2025-07-10 06:14:20,1.59.1.5,0,1,Lien Quan Mobile,thua,thua,Negative,other
Vy Đặng Hoàng Nhã,5,chơi vui vãi biết thế tải sớm hơn😃,2025-07-10 06:13:01,1.59.1.5,0,0,Lien Quan Mobile,chơi vui vãi biết thế tải sớm hơn😃,chơi vui_vãi biết thế_tải sớm hơn 😃,Positive,none
Doi Nong,1,tố cáo thì không trừ uy tín trong khi chết quá tr kh được kill nào vô phá game một đống mà tố cáo lại kh bị trừ uy tín tức game càng ngày càng kém đi,2025-07-10 06:12:44,1.59.1.5,0,1,Lien Quan Mobile,tố cáo thì không trừ uy tín trong khi chết quá tr kh được kill nào vô phá game một đống mà tố cáo lại kh bị trừ uy tín tức game càng ngày càng kém đi,tố_cáo thì không trừ uy_tín trong khi chết quá tr kh được kill nào vô_phá game một đống mà tố_cáo lại kh bị trừ uy_tín_tức game càng_ngày_càng kém đi,Negative,"matchmaking, toxic"
Hùng Nguyễn,5,khét đấy,2025-07-10 06:12:14,1.58.1.2,0,0,Lien Quan Mobile,khét đấy,khét đấy,Positive,none
Trần Oul,1,"game nó ko bao h nó sửa cái đăng nhập cứ vô game là bị ng khác vô acc, bảo mật kém thật sự.",2025-07-10 06:11:44,1.59.1.5,9,1,Lien Quan Mobile,game nó ko bao h nó sửa cái đăng nhập cứ vô game là bị ng khác vô acc bảo mật kém thật sự,game nó ko bao h nó sửa cái đăng_nhập cứ vô_game là bị ng khác vô_acc bảo_mật kém thật_sự,Negative,other
Khánh Nguyễn,2,từ khi cập nhật lác không chơi được,2025-07-10 06:11:16,1.59.1.5,0,1,Lien Quan Mobile,từ khi cập nhật lác không chơi được,từ khi cập_nhật lác không chơi được,Negative,update
Huy Bui,1,"bản cập nhật quá tệ, lỗi mạng quá nhiều, quá gắt trong vc trừ uy tín dùng lại nó tí cx bị trừ 2 uy tín",2025-07-10 06:11:09,1.59.1.5,52,1,Lien Quan Mobile,bản cập nhật quá tệ lỗi mạng quá nhiều quá gắt trong vc trừ uy tín dùng lại nó tí cx bị trừ uy tín,bản cập_nhật quá tệ lỗi_mạng quá nhiều quá gắt trong vc_trừ uy_tín dùng lại nó tí cx bị trừ uy_tín,Negative,"bug, matchmaking, trash, update"
Can B,1,sao t vô game nó cứ bị đăng suốt ra vậy game l 1sao,2025-07-10 06:11:09,1.59.1.5,0,1,Lien Quan Mobile,sao t vô game nó cứ bị đăng suốt ra vậy game l sao,sao t vô_game nó cứ bị đăng suốt ra vậy game l sao,Negative,other
Bảo Gia,1,"hệ thống ghét chán , con tướng cần giảm SM ko giảm còn tăng con cần tăng lại giảm",2025-07-10 06:11:07,1.59.1.5,3,1,Lien Quan Mobile,hệ thống ghét chán con tướng cần giảm sm ko giảm còn tăng con cần tăng lại giảm,hệ_thống ghét chán con tướng cần giảm sm ko giảm còn tăng con cần tăng lại giảm,Negative,other
Thùy Trinh,5,game hơi toxic nhưg vui hơn những game khác đừng chê 🥰💝,2025-07-10 06:09:56,1.58.1.2,0,0,Lien Quan Mobile,game hơi toxic nhưg vui hơn những game khác đừng chê 🥰💝,game hơi toxic nhưg vui hơn những game khác đừng chê 🥰 💝,Positive,toxic
Anh Kiệt Nguyễn,2,"Mỗi lần vào game là nó tự động tải MXH skin nên phải tắt rất phiền, ko có nhu cầu thì đừng bắt người chơi tải, trải nghiệm kém hơn mùa trước",2025-07-10 06:09:48,1.59.1.5,1,1,Lien Quan Mobile,mỗi lần vào game là nó tự động tải mxh skin nên phải tắt rất phiền ko có nhu cầu thì đừng bắt người chơi tải trải nghiệm kém hơn mùa trước,mỗi lần vào game là nó tự_động tải mxh skin nên phải tắt rất phiền_ko có nhu_cầu thì đừng bắt người chơi_tải trải_nghiệm kém hơn mùa trước,Negative,other
Gold Bình,2,không vui một chút nào đáng ra là phải cho1 sao,2025-07-10 06:08:40,1.58.1.2,0,1,Lien Quan Mobile,không vui một chút nào đáng ra là phải cho sao,không vui một_chút nào đáng_ra là phải cho sao,Negative,other
Thanh Tùng Hà,1,"Tướng Goverra làm game giật lag trong khi máy ram 8gb, chip 8 nhân, trải nghiệm bây giờ rất tệ.",2025-07-10 06:08:31,1.59.1.5,3,1,Lien Quan Mobile,tướng goverra làm game giật lag trong khi máy ram gb chip nhân trải nghiệm bây giờ rất tệ,tướng goverra làm game giật_lag trong khi máy ram gb chip_nhân trải_nghiệm bây_giờ rất tệ,Negative,"lag, performance, trash"
Ha Tuong Thi Thu,4,ghép đội toàn kid,2025-07-10 06:08:14,1.58.1.2,0,0,Lien Quan Mobile,ghép đội toàn kid,ghép đội toàn kid,Positive,none
Nghĩa Phan,1,cập nhập còn thua cả ff game như db,2025-07-10 06:07:51,1.59.1.5,0,1,Lien Quan Mobile,cập nhập còn thua cả ff game như db,cập nhập còn thua cả ff game như db,Negative,other
Nga Mai,1,game lag bị văng khi tải bị trừ uy tín,2025-07-10 06:06:52,1.59.1.5,0,1,Lien Quan Mobile,game lag bị văng khi tải bị trừ uy tín,game lag bị văng khi tải bị trừ uy_tín,Negative,"lag, matchmaking, performance"
My Nguyen,1,game đã rác rồi còn gặp nhiều trẻ trâu từ cao thủ nó phá đến tinh anh,2025-07-10 06:06:23,1.59.1.5,0,1,Lien Quan Mobile,game đã rác rồi còn gặp nhiều trẻ trâu từ cao thủ nó phá đến tinh anh,game đã rác rồi còn gặp nhiều trẻ trâu từ cao_thủ nó phá đến tinh anh,Negative,"toxic, trash"
Vân Đỗ Thị,1,cập nhật lâu.,2025-07-10 06:06:10,1.58.1.2,0,1,Lien Quan Mobile,cập nhật lâu,cập_nhật lâu,Negative,update
Tuấn Hoàng,1,đang vào đấu hạng thì bị kích ra,2025-07-10 06:05:55,1.59.1.5,0,1,Lien Quan Mobile,đang vào đấu hạng thì bị kích ra,đang vào đấu_hạng thì bị kích ra,Negative,other
Đăng Vinh Nguyễn,5,game hay nhưng muốn skin đẹp hơi tốn,2025-07-10 06:05:45,1.59.1.5,0,0,Lien Quan Mobile,game hay nhưng muốn skin đẹp hơi tốn,game hay nhưng muốn skin đẹp hơi tốn,Positive,none
Dd Dt,5,tôi rất thích trò chơi này có thể múa như bao trò khác có nhiều vị tướng đẹp,2025-07-10 06:04:54,1.59.1.5,0,0,Lien Quan Mobile,tôi rất thích trò chơi này có thể múa như bao trò khác có nhiều vị tướng đẹp,tôi rất thích trò_chơi này có_thể múa như bao_trò khác có nhiều vị tướng đẹp,Positive,none
Be Le,1,"tốn dung lượng nha, dô gặp toàn trẩu và afk có lúc không phát ngôn khiếm nhả mà vẫn cấm chat",2025-07-10 06:03:53,1.59.1.5,0,1,Lien Quan Mobile,tốn dung lượng nha dô gặp toàn trẩu và afk có lúc không phát ngôn khiếm nhả mà vẫn cấm chat,tốn dung_lượng nha dô gặp toàn trẩu và afk có lúc không phát_ngôn khiếm_nhả mà vẫn cấm chat,Negative,"toxic, update"
Đình Tiến Đặng,1,game ghép team toàn đồng,2025-07-10 06:03:41,1.59.1.5,0,1,Lien Quan Mobile,game ghép team toàn đồng,game ghép team toàn đồng,Negative,matchmaking
Ngọc Đỗ,5,7gb lận bây ơii😭😭,2025-07-10 06:03:27,1.58.1.2,80,0,Lien Quan Mobile,gb lận bây ơii😭😭,gb lận bây_ơii 😭 😭,Positive,none
Thiện Vũ Văn,1,Tóm lại là ko nên chơi,2025-07-10 06:02:50,1.58.1.2,0,1,Lien Quan Mobile,tóm lại là ko nên chơi,tóm_lại là ko nên chơi,Negative,other
Hùng Phan văn,1,game như l ghép team thì nqu như ccho,2025-07-10 06:02:27,1.59.1.5,0,1,Lien Quan Mobile,game như l ghép team thì nqu như ccho,game như l ghép team thì nqu như ccho,Negative,matchmaking
Thang Nguyen,1,Cập nhật tải dữ liệu lòi mắt,2025-07-10 06:01:48,1.58.1.2,0,1,Lien Quan Mobile,cập nhật tải dữ liệu lòi mắt,cập nhật_tải dữ_liệu lòi mắt,Negative,update
Ni Vo,1,rp nó cố tịnh hệ thống ghép máy để thua liên tục dù chuỗi thua mvp,2025-07-10 06:00:45,1.59.1.5,0,1,Lien Quan Mobile,rp nó cố tịnh hệ thống ghép máy để thua liên tục dù chuỗi thua mvp,rp nó cố_tịnh hệ_thống ghép máy để thua liên_tục dù chuỗi thua mvp,Negative,other
Hân Nguyên,1,"xoá đi game, garenna cho chế độ mùa chơi như loll",2025-07-10 06:00:19,1.59.1.5,0,1,Lien Quan Mobile,xoá đi game garenna cho chế độ mùa chơi như loll,xóa đi game_garenna cho chế_độ mùa chơi như loll,Negative,other
Long Ngoc,1,cập nhật tải xong dô đơ đơ lag vc,2025-07-10 05:58:50,1.59.1.5,0,1,Lien Quan Mobile,cập nhật tải xong dô đơ đơ lag vc,cập nhật_tải xong dô đơ đơ lag vc,Negative,"bug, lag, performance, update"
Danh Nguyen,1,2025 rồi hỗ trợ anh em android 120 fps đi chứ,2025-07-10 05:58:38,1.59.1.5,0,1,Lien Quan Mobile,rồi hỗ trợ anh em android fps đi chứ,rồi hỗ_trợ anh_em android fps đi chứ,Negative,other
Thư Anh,1,đơ lag game như cức z,2025-07-10 05:58:22,1.59.1.5,0,1,Lien Quan Mobile,đơ lag game như cức z,đơ lag game như cức z,Negative,"bug, lag, performance, trash"
HT Thịnh,1,ko hiểu sao cập nhật xong lại phải tải lại một đống tài nguyên cũ 🐧🐧🐧,2025-07-10 05:57:32,1.59.1.5,0,1,Lien Quan Mobile,ko hiểu sao cập nhật xong lại phải tải lại một đống tài nguyên cũ 🐧🐧🐧,ko hiểu sao cập_nhật xong lại phải tải lại một đống tài_nguyên cũ 🐧_🐧 🐧,Negative,update
Bao tram Duong thi,5,vui,2025-07-10 05:56:51,1.59.1.5,0,0,Lien Quan Mobile,vui,vui,Positive,none
Minh Thuận Nguyễn,1,"game như rác z đó, k công bằng k nên chs",2025-07-10 05:56:48,1.59.1.5,0,1,Lien Quan Mobile,game như rác z đó k công bằng k nên chs,game như rác z đó k công_bằng k nên chs,Negative,trash
Phương Vy Trần,1,"Game ghép trận gặp gì đâu không, buồn",2025-07-10 05:56:18,1.59.1.5,398,1,Lien Quan Mobile,game ghép trận gặp gì đâu không buồn,game ghép trận gặp gì đâu không buồn,Negative,matchmaking
Nguyen Thieu Duy,1,Fix Bright dùm cái quăng chiêu 1 lúc choáng lúc không là sao vậy??? chiêu 2 của Yorn không có miễn thương đánh dễ thọt vcl,2025-07-10 05:56:13,1.59.1.5,59,1,Lien Quan Mobile,fix bright dùm cái quăng chiêu lúc choáng lúc không là sao vậy chiêu của yorn không có miễn thương đánh dễ thọt vcl,fix bright dùm cái quăng chiêu lúc choáng lúc không là sao vậy chiêu của yorn không có miễn_thương đánh dễ thọt vcl,Negative,other
Nam Le,1,dung lượng gần 13g mà hack thì quá trời tốn dung lượng game ngày 1 tệ hại cho 1 sao hết muốn gắn bó liên,2025-07-10 05:56:03,1.59.1.5,0,1,Lien Quan Mobile,dung lượng gần g mà hack thì quá trời tốn dung lượng game ngày tệ hại cho sao hết muốn gắn bó liên,dung_lượng gần g mà hack thì quá trời tốn dung_lượng game ngày tệ_hại cho sao hết muốn gắn_bó liên,Negative,"hack, trash, update"
De Niro Juno,1,game lỏ thiệt chớ cập nhật xog thì bị trừ uy tín oan ko AFK mà cũng trừ 7 uy tín gặp tình trạng này thường xuyên luôn game lỏ cần khán cáo :((,2025-07-10 05:55:17,1.59.1.5,1,1,Lien Quan Mobile,game lỏ thiệt chớ cập nhật xog thì bị trừ uy tín oan ko afk mà cũng trừ uy tín gặp tình trạng này thường xuyên luôn game lỏ cần khán cáo,game lỏ thiệt_chớ cập_nhật xog thì bị trừ uy_tín oan ko afk mà cũng trừ uy_tín gặp tình_trạng này thường_xuyên luôn game lỏ cần khán_cáo,Negative,"matchmaking, toxic, update"
Hung Manh,5,cũng dc,2025-07-10 05:55:08,1.58.1.2,0,0,Lien Quan Mobile,cũng dc,cũng dc,Positive,none
Anh Hoang,5,"game chấm điểm sau mỗi trận rất xàm, không thể hiểu nổi",2025-07-10 05:54:35,1.59.1.5,0,0,Lien Quan Mobile,game chấm điểm sau mỗi trận rất xàm không thể hiểu nổi,game chấm điểm sau mỗi trận rất xàm không_thể hiểu nổi,Positive,none
Sơn Phạm Thanh,1,"thật sự là quá tệ về trải nghiệm. tải tài nguyên đã tốn rất nhiều thời gian, tải xong hôm sau vào lại, mất sạch? thật sự là khó hiểu",2025-07-10 05:54:25,1.59.1.5,0,1,Lien Quan Mobile,thật sự là quá tệ về trải nghiệm tải tài nguyên đã tốn rất nhiều thời gian tải xong hôm sau vào lại mất sạch thật sự là khó hiểu,thật_sự là quá tệ về trải_nghiệm tải tài_nguyên đã tốn rất nhiều thời_gian tải xong hôm sau vào lại mất sạch thật_sự là khó hiểu,Negative,trash
Hinh Ma,5,game này rất hay,2025-07-10 05:53:17,1.59.1.5,0,0,Lien Quan Mobile,game này rất hay,game này rất hay,Positive,none
Lý Lâm,5,gema rất thay,2025-07-10 05:52:26,1.58.1.2,0,0,Lien Quan Mobile,gema rất thay,gema rất thay,Positive,none
Như Nguyễn,1,suất ngày bắt cập nhật,2025-07-10 05:52:18,1.58.1.2,0,1,Lien Quan Mobile,suất ngày bắt cập nhật,suất ngày bắt cập_nhật,Negative,update
Thuận Trần,1,vô trận đánh là game lát má ơi lun đánh ko cứng bị đứng rồi hết trận kêu afk rồi trừ úy tính là sao vậy đề ghị xem lại ....thấy trừ uy tín hơi nhiu rồi,2025-07-10 05:52:04,1.59.1.5,3,1,Lien Quan Mobile,vô trận đánh là game lát má ơi lun đánh ko cứng bị đứng rồi hết trận kêu afk rồi trừ úy tính là sao vậy đề ghị xem lại thấy trừ uy tín hơi nhiu rồi,vô trận đánh là game lát má ơi lun đánh ko cứng bị đứng rồi hết trận kêu afk rồi trừ úy_tính là sao vậy đề_ghị xem_lại thấy trừ uy_tín hơi nhiu rồi,Negative,"matchmaking, toxic"
Quỳnh Quỳnh,2,"game lag vãi,làm mất hứng chơi game",2025-07-10 05:51:16,1.59.1.5,0,1,Lien Quan Mobile,game lag vãilàm mất hứng chơi game,game lag vãilàm mất_hứng chơi game,Negative,"lag, performance"
Nguyễn Sang (shangbelsus),1,"cố mà chịu đựng dư luận đi nhé xóa bậc skin thì phải chịu thôi, làm ăn thất đức vcl",2025-07-10 05:50:01,1.59.1.5,0,1,Lien Quan Mobile,cố mà chịu đựng dư luận đi nhé xóa bậc skin thì phải chịu thôi làm ăn thất đức vcl,cố mà chịu_đựng dư_luận đi nhé_xóa bậc skin thì phải chịu thôi làm_ăn thất_đức vcl,Negative,other
Hùng Nguyễn,1,sau khi cập nhật game cứ bị lỗi mạng thì 5 cục mà vô nó lại đang kết nối mong game chỉnh sửa lại trừ cả đống uy tín 🤬🤬,2025-07-10 05:49:42,1.59.1.5,4,1,Lien Quan Mobile,sau khi cập nhật game cứ bị lỗi mạng thì cục mà vô nó lại đang kết nối mong game chỉnh sửa lại trừ cả đống uy tín 🤬🤬,sau khi cập_nhật game cứ bị lỗi_mạng thì cục mà vô nó lại đang kết_nối mong game_chỉnh_sửa lại trừ cả đống uy_tín_🤬 🤬,Negative,"bug, update"
Ngan Thu,1,"game bị lỗi hay sao mà vô ghép trận rồi mà vẫn cứ đứng đơ ở ngoài sảnh ko vô trận chơi đc, mẹ làm mất 1*",2025-07-10 05:49:35,1.59.1.5,5,1,Lien Quan Mobile,game bị lỗi hay sao mà vô ghép trận rồi mà vẫn cứ đứng đơ ở ngoài sảnh ko vô trận chơi đc mẹ làm mất,game bị lỗi hay sao mà vô ghép trận rồi mà vẫn cứ đứng đơ ở ngoài sảnh_ko vô_trận chơi đc mẹ làm mất,Negative,"bug, matchmaking"
Chau Tran,5,vui,2025-07-10 05:48:59,1.59.1.5,0,0,Lien Quan Mobile,vui,vui,Positive,none
Thien Vu Than,1,"h chơi game ko đc lựa chọn len mình muốn nữa sắp đặt ko thì bị trừ uy tín, muốn len ranh thì ko đc toàn trừ, lâu lâu còn lỗi, h chả hứng thú j hết",2025-07-10 05:48:48,1.59.1.5,8,1,Lien Quan Mobile,h chơi game ko đc lựa chọn len mình muốn nữa sắp đặt ko thì bị trừ uy tín muốn len ranh thì ko đc toàn trừ lâu lâu còn lỗi h chả hứng thú j hết,h chơi game ko đc lựa_chọn len mình muốn nữa sắp_đặt ko thì bị trừ uy_tín muốn len_ranh thì ko đc toàn_trừ lâu_lâu còn lỗi h chả_hứng thú_j hết,Negative,"bug, matchmaking"
Giang Nguyễn thị,5,rất vui,2025-07-10 05:48:34,1.59.1.5,0,0,Lien Quan Mobile,rất vui,rất vui,Positive,none
Chin Nguyen,3,hè này toàn gặp trẩu nên chán toàn phá game khuyên các mom bảo vệ đth ghât tốt nhé khéo con trộm thì hỏng 👍👍👍,2025-07-10 05:47:44,1.59.1.5,1,0,Lien Quan Mobile,hè này toàn gặp trẩu nên chán toàn phá game khuyên các mom bảo vệ đth ghât tốt nhé khéo con trộm thì hỏng 👍👍👍,hè này toàn gặp trẩu nên chán toàn phá game khuyên các mom bảo_vệ đth ghât tốt nhé khéo con trộm thì hỏng 👍_👍 👍,Neutral,toxic
Ha tam,2,game cần điều chỉnh nv cho đúng ạ,2025-07-10 05:47:38,1.59.1.5,0,1,Lien Quan Mobile,game cần điều chỉnh nv cho đúng ạ,game cần điều_chỉnh nv cho đúng ạ,Negative,other
Do Minh,1,không có đăng nhậo bằng facebook,2025-07-10 05:46:11,1.59.1.5,0,1,Lien Quan Mobile,không có đăng nhậo bằng facebook,không có đăng_nhậo bằng facebook,Negative,other
Vũ Kim,1,"Tạm , nâng cấp xong lag , khự điên",2025-07-10 05:45:22,1.59.1.5,0,1,Lien Quan Mobile,tạm nâng cấp xong lag khự điên,tạm nâng_cấp xong lag khự điên,Negative,"lag, performance"
Phương Nông Văn,1,game như loll lag vc ra,2025-07-10 05:44:09,1.59.1.5,0,1,Lien Quan Mobile,game như loll lag vc ra,game như loll lag vc ra,Negative,"lag, performance"
Thanh thúy Phạm,1,cập nhật xong từ bạch kimV xuống vàngI,2025-07-10 05:43:38,1.59.1.5,0,1,Lien Quan Mobile,cập nhật xong từ bạch kimv xuống vàngi,cập_nhật xong từ bạch_kimv xuống vàngi,Negative,update
Đức La Vũ,5,toàn phá game,2025-07-10 05:42:20,1.58.1.2,0,0,Lien Quan Mobile,toàn phá game,toàn phá game,Positive,toxic
Th T,1,nên xóa con tuong Gogia,2025-07-10 05:42:10,1.59.1.5,0,1,Lien Quan Mobile,nên xóa con tuong gogia,nên xóa con tuong gogia,Negative,other
Tiên Nguyễn,5,như cc,2025-07-10 05:40:54,1.59.1.5,0,0,Lien Quan Mobile,như cc,như cc,Positive,none
Trung Le,1,mỗi update là tải lại tài nguyên từ đầu vào trận thì đang kết nối lag k chịu dc,2025-07-10 05:40:00,1.59.1.5,0,1,Lien Quan Mobile,mỗi update là tải lại tài nguyên từ đầu vào trận thì đang kết nối lag k chịu dc,mỗi update là tải lại tài_nguyên từ đầu vào trận thì đang kết_nối lag k chịu dc,Negative,"lag, performance, update"
Bá Khánh ĐẶNG,1,game thì mất cân bằng buff ẩn nói j buff bẩn chơi thì ghép mấy thk yếu hơn đấu mấy thk mạnh xoá game đi,2025-07-10 05:39:45,1.59.1.5,0,1,Lien Quan Mobile,game thì mất cân bằng buff ẩn nói j buff bẩn chơi thì ghép mấy thk yếu hơn đấu mấy thk mạnh xoá game đi,game thì mất cân_bằng buff_ẩn nói j buff bẩn chơi thì ghép mấy thk_yếu hơn đấu mấy thk mạnh xóa game đi,Negative,other
Hà trang Lê,5,hayy,2025-07-10 05:39:01,1.58.1.2,0,0,Lien Quan Mobile,hayy,hayy,Positive,none
Thành Phàn A,5,game rác,2025-07-10 05:37:53,1.58.1.2,0,0,Lien Quan Mobile,game rác,game rác,Positive,trash
Quốc bảo Nguyễn,5,hãy vc,2025-07-10 05:37:15,1.59.1.5,0,0,Lien Quan Mobile,hãy vc,hãy vc,Positive,none
Hậu Lê,3,Làm ơn tắt hỏi bạn bè cần biết vị trí của bạn hay bật định vị dùm. Cứ hiện ra liên tục...,2025-07-10 05:37:08,1.59.1.5,26,0,Lien Quan Mobile,làm ơn tắt hỏi bạn bè cần biết vị trí của bạn hay bật định vị dùm cứ hiện ra liên tục,làm ơn_tắt hỏi bạn_bè cần biết vị_trí của bạn hay bật định_vị dùm cứ hiện ra liên_tục,Neutral,none
Chang Ydel,5,vui vchuong ra,2025-07-10 05:36:43,1.59.1.5,0,0,Lien Quan Mobile,vui vchuong ra,vui vchuong ra,Positive,none
Mai Le,1,cập nhật lại game k vào chơi đc chơi đc mạng cũng lỗi k đánh đc rồi bị phạt uy tín nọ kia trong khi tụi sài wifi k đc bất mạng 5g vẫn k đánh đc,2025-07-10 05:36:33,1.59.1.5,0,1,Lien Quan Mobile,cập nhật lại game k vào chơi đc chơi đc mạng cũng lỗi k đánh đc rồi bị phạt uy tín nọ kia trong khi tụi sài wifi k đc bất mạng g vẫn k đánh đc,cập_nhật lại game k vào chơi đc chơi đc_mạng cũng lỗi k đánh đc rồi bị phạt uy_tín nọ kia trong khi tụi sài wifi k đc bất_mạng g vẫn k đánh đc,Negative,"bug, update"
Thúy Trịnh Ngọc,4,tốt,2025-07-10 05:35:29,1.59.1.5,0,0,Lien Quan Mobile,tốt,tốt,Positive,none
Bình Nguyên,1,Cập nhật xong đụng đến đâu đơ đến đấy,2025-07-10 05:34:00,1.59.1.5,0,1,Lien Quan Mobile,cập nhật xong đụng đến đâu đơ đến đấy,cập_nhật xong đụng đến đâu đơ đến đấy,Negative,"bug, update"
Trung Nguyễn Văn,1,ê game mày có phải là người ko vậy mày đừng nghĩ cho free mà cho tao tàn gặp trẻ trâu còn gặp thêm mấy đứa sút vật mẹ đang yên tự nhiên khối nghĩ hè mẹ game cho tất cả là tại game cho hết:),2025-07-10 05:33:40,1.59.1.5,0,1,Lien Quan Mobile,ê game mày có phải là người ko vậy mày đừng nghĩ cho free mà cho tao tàn gặp trẻ trâu còn gặp thêm mấy đứa sút vật mẹ đang yên tự nhiên khối nghĩ hè mẹ game cho tất cả là tại game cho hết,ê_game mày có phải là người ko vậy mày đừng nghĩ cho free mà cho tao tàn gặp trẻ trâu còn gặp thêm mấy đứa sút_vật mẹ đang yên_tự_nhiên khối nghĩ hè mẹ game cho tất_cả là tại game cho hết,Negative,toxic
Nam Hao,1,nhu ccc,2025-07-10 05:33:16,1.59.1.5,0,1,Lien Quan Mobile,nhu ccc,nhu_ccc,Negative,other
Thoa Nguyễn,1,ghép toàn súc vật,2025-07-10 05:33:15,1.59.1.5,0,1,Lien Quan Mobile,ghép toàn súc vật,ghép toàn súc_vật,Negative,other
Duy Nguyễn,1,nói chung là game rác rưởi,2025-07-10 05:32:08,1.59.1.5,0,1,Lien Quan Mobile,nói chung là game rác rưởi,nói_chung là game rác_rưởi,Negative,trash
